name,sales,zipcode,address,store,first_sale,last_sale
HOT SPOT FOOD AND LIQUOR / BURLINGTON,163,52601,1618 OSBORN ST,5903,2021-10-01T00:00:00Z,2021-11-26T00:00:00Z
GIRI'S LIQUOR STORE / WEST LIBERTY,162,52776,"1006, N COLUMBUS ST",4806,2021-10-04T00:00:00Z,2021-11-29T00:00:00Z
BRITT FOOD CENTER,161,50423,8 2ND ST NW,3045,2021-10-06T00:00:00Z,2021-11-24T00:00:00Z
PRIME STAR,161,52301,395 WESTERN AVENUE,5339,2021-10-04T00:00:00Z,2021-11-29T00:00:00Z
CASEY'S GENERAL STORE # 2792/CEDAR RAPIDS,159,52404,9001 6TH STREET SW,5417,2021-10-04T00:00:00Z,2021-11-22T00:00:00Z
WESTSIDE PETRO,159,52247,103 1ST STREET,5702,2021-10-01T00:00:00Z,2021-11-19T00:00:00Z
JET STOP MILTON / MILTON,158,52570,109 E HWY 2,6314,2022-10-28T00:00:00Z,2023-04-21T00:00:00Z
KWIK STAR #1186 / ALTOONA,158,50009,2030 21ST ST NW,010057,2022-09-29T00:00:00Z,2022-10-27T00:00:00Z
THE COOLER,158,52405,"4920, JOHNSON AVE NW",4956,2021-10-04T00:00:00Z,2021-11-29T00:00:00Z
CASEY'S GENERAL STORE # 2560,157,NA,NA,5279,2016-09-07T00:00:00Z,2016-12-14T00:00:00Z
OELWEIN LIQUOR TOBACCO & GAS / OELWEIN,157,50662,801 EAST CHARLES STREET,6228,2021-10-12T00:00:00Z,2021-11-30T00:00:00Z
HY-VEE FOOD STORE / ALBIA,156,52531,301 HWY. 34 WEST,2559,2021-10-01T00:00:00Z,2021-11-26T00:00:00Z
C FRESH MARKET,155,NA,NA,4849,2016-09-19T00:00:00Z,2017-02-23T00:00:00Z
TARGET STORE T-3374 / IOWA CITY,155,52240,113 E WASHINGTON ST,6008,2021-10-06T00:00:00Z,2021-11-30T00:00:00Z
CASEY'S GENERAL STORE # 2179/ WAUKEE,153,50263,1995 SE UNIVERSITY,5409,2021-10-01T00:00:00Z,2021-11-26T00:00:00Z
EZ STOP / DAVENPORT,153,52803,2923 BRADY ST,4630,2021-10-06T00:00:00Z,2021-11-24T00:00:00Z
HY-VEE FOOD STORE / CORNING,153,NA,NA,2656,2019-07-05T00:00:00Z,2019-07-19T00:00:00Z
KWIK STAR #1158 / AMES,153,50010,1910 ISAAC NEWTON DR.,010032,2022-08-04T00:00:00Z,2022-09-15T00:00:00Z
CASEY'S GENERAL STORE # 2774/AMANA,152,52203,617 42ND AVE,5397,2021-10-04T00:00:00Z,2021-11-29T00:00:00Z
HY-VEE C-STORE #3 / DUBUQUE,152,52003,300 S LOCUST,2721,2021-10-05T00:00:00Z,2021-11-22T00:00:00Z
CASEY'S GENERAL STORE #32 / MADRID,151,50156,117 N KENNEDY AVE,5561,2021-10-01T00:00:00Z,2021-11-12T00:00:00Z
CASEY'S GENERAL STORE #2802 / CONRAD,150,50621,409 E CENTER,4659,2022-11-03T00:00:00Z,2023-03-23T00:00:00Z
HASS MARKET,149,52732,122 SOUTH 2ND STREET,5741,2021-10-04T00:00:00Z,2021-11-29T00:00:00Z
CASEY'S GENERAL STORE #1139 / NORA SPRINGS,147,50458,14 E CONGRESS,4524,2021-10-05T00:00:00Z,2021-11-23T00:00:00Z
CASEY'S GENERAL STORE #1684 / EMMETSBURG,145,NA,NA,4783,2016-09-07T00:00:00Z,2021-11-24T00:00:00Z
BEER BARN,144,51503,19203 BUNGE AVE,5424,2017-05-12T00:00:00Z,2020-09-02T00:00:00Z
FAREWAY STORES #106 / CLIVE,144,50325,10151 UNIVERSITY AVE,4230,2021-10-04T00:00:00Z,2021-11-29T00:00:00Z
THE DEPOT TIFFIN,144,52340,221 W MARENGO RD,5649,2021-10-06T00:00:00Z,2021-11-30T00:00:00Z
KWIK STAR #1097 / URBANDALE,143,50322,10101 PLUM DR.,010052,2022-12-09T00:00:00Z,2023-02-24T00:00:00Z
WALGREENS #12393 / CEDAR RAPIDS,143,52402,5750 C AVE NE,4679,2022-10-12T00:00:00Z,2023-03-29T00:00:00Z
1ST AVE BP / CEDAR RAPIDS,142,52402,1581 1ST AVE,5943,2020-04-27T00:00:00Z,2021-05-10T00:00:00Z
MOTI'S FOOD,140,52802,1717 WEST 3RD STREET,5847,2021-10-05T00:00:00Z,2021-11-29T00:00:00Z
HY-VEE DYERSVILLE DOLLAR FRESH,139,52040,1201 12TH AVE SE,2713,2021-10-01T00:00:00Z,2021-11-26T00:00:00Z
COLONY POINT FUEL & GAS - WILLIAMSBURG,138,52361,333 220TH STREET,6321,2022-06-13T00:00:00Z,2023-03-13T00:00:00Z
AKRON STOP / ALGONA,132,50511,107 US HWY 18,6134,2021-06-16T00:00:00Z,2022-08-10T00:00:00Z
HY-VEE FOOD STORE / LAMONI,131,50140,720 EAST MAIN,2674,2021-10-01T00:00:00Z,2021-11-26T00:00:00Z
BROTHER'S MARKET / DENVER,129,50622,1022 SKYLAR ST,5007,2021-10-05T00:00:00Z,2021-11-30T00:00:00Z
CASEY'S GENERAL STORE #2185 / MANCHESTER,129,52057,1305 W COMMERCIAL ST,5774,2019-12-24T00:00:00Z,2020-04-14T00:00:00Z
RUSS'S MARKET #30,128,51534,900 S LOCUST,5671,2021-10-08T00:00:00Z,2021-11-19T00:00:00Z
SUPER TARGET T-0804 MASON CITY,128,50401,3450  4TH ST SW,3528,2021-10-05T00:00:00Z,2021-11-26T00:00:00Z
THE STATION / CEDAR RAPIDS,127,52404,3645 STONE CREEK CIRCLE SW,4861,2021-10-04T00:00:00Z,2021-11-29T00:00:00Z
