name,sales,zipcode,address,store,first_sale,last_sale
NORTH AMERICAN SPIRITS,50,NA,NA,9911,2017-08-01T00:00:00Z,2017-08-09T00:00:00Z
CASEY'S GENERAL STORE #1617 / JEFFERSON,49,NA,NA,4653,2016-09-08T00:00:00Z,2016-12-08T00:00:00Z
CORWITH FARM SERVICE,49,50430,205 NW ELM ST,5626,2021-10-06T00:00:00Z,2021-11-24T00:00:00Z
CASEY'S GENERAL STORE #1503 / TABOR,47,NA,NA,5223,2016-09-09T00:00:00Z,2016-12-02T00:00:00Z
CASEY'S GENERAL STORE #1680 / ADEL,47,NA,NA,4929,2016-09-06T00:00:00Z,2016-12-06T00:00:00Z
CASEY'S GENERAL STORE #3204 / MINDEN,47,51553,33280 335TH ST,5177,2021-10-01T00:00:00Z,2021-11-19T00:00:00Z
SPARKY'S ONE STOP / LAKE VIEW,46,51450,HWY 71 & HWY 175,6188,2022-10-24T00:00:00Z,2023-03-06T00:00:00Z
B AND B EAST / WATERLOO,45,NA,NA,4647,2019-07-02T00:00:00Z,2019-07-16T00:00:00Z
CASEY'S GENERAL STORE # 2528/ WILLIAMSBURG,45,52361,602 S HIGHLAND,5407,2021-10-04T00:00:00Z,2021-11-22T00:00:00Z
KUM & GO #206 / CLIVE,45,50311,7229 UNIVERSITY AVE,5107,2021-03-02T00:00:00Z,2021-03-02T00:00:00Z
HY-VEE DRUGSTORE / MARION,44,NA,NA,2514,2019-04-01T00:00:00Z,2019-04-08T00:00:00Z
THE FOOD CENTER,44,50472,215 W 4TH ST,5532,2021-10-04T00:00:00Z,2021-11-29T00:00:00Z
CASEY'S GENERAL STORE #1567 / ANITA,43,NA,NA,4880,2016-09-12T00:00:00Z,2016-12-05T00:00:00Z
CASEY'S GENERAL STORE #1499 / CHARITON,41,50049,418 S. 7TH ST,5965,2021-10-01T00:00:00Z,2021-11-12T00:00:00Z
CASEY'S GENERAL STORE #3896 / CENTER POINT,40,52213,696 GRAIN LN,5922,2021-10-08T00:00:00Z,2021-11-26T00:00:00Z
BURLINGTON SHELL,39,NA,NA,4898,2019-04-01T00:00:00Z,2019-04-13T00:00:00Z
SICHANH LIQUOR STORE,39,50588,812 FLINDT DR,4210,2021-10-11T00:00:00Z,2021-11-15T00:00:00Z
WALGREENS #05044 / BURLINGTON,39,52601,3245 AGENCY ST,4721,2021-10-01T00:00:00Z,2021-11-19T00:00:00Z
KEYSTONE LIQUOR AND WINE,38,NA,NA,5705,2019-02-05T00:00:00Z,2019-02-05T00:00:00Z
SWEETIES LIQUOR STORE AND COFFEE SHOP LLC / ODEBOLT,38,NA,NA,010180,2023-10-17T00:00:00Z,2023-10-17T00:00:00Z
CASEY'S GENERAL STORE #30 / GILMORE CITY,37,50541,105 SE FIRST ST,4527,2021-10-01T00:00:00Z,2021-11-12T00:00:00Z
CASEY'S GENERAL STORE #1378 / JESUP,36,50648,1330 6TH ST,5775,2021-10-05T00:00:00Z,2021-11-30T00:00:00Z
CASEY'S GENERAL STORE #2437 / MASON CITY,36,50401,2701 19TH ST SW,6011,2021-10-14T00:00:00Z,2021-11-18T00:00:00Z
CASEY'S GENERAL STORE #2785 / ANKENY,36,NA,NA,5564,2019-07-03T00:00:00Z,2019-07-17T00:00:00Z
CASEY'S GENERAL STORE #3200 / STRAWBERRY POINT,36,52076,"308, W MISSION",4855,2021-10-05T00:00:00Z,2021-11-16T00:00:00Z
CASEY'S GENERAL STORE #3782 / MOUNT AYR,35,50854,1305 E SOUTH STREET,4779,2021-10-08T00:00:00Z,2021-11-19T00:00:00Z
HY-VEE FAST & FRESH EXPRESS- CRESTON,34,NA,NA,2693,2019-08-23T00:00:00Z,2019-08-23T00:00:00Z
CASEY'S GENERAL STORE #2639 / MAYNARD,33,50655,525 MAIN ST W,5753,2021-10-05T00:00:00Z,2021-11-16T00:00:00Z
CASEY'S GENERAL STORE #63 / ROCK RAPIDS,32,51246,709 1ST AVE,5961,2021-10-05T00:00:00Z,2021-11-23T00:00:00Z
CASEY'S GENERAL STORE #1024 / GUTTEN,31,52052,"1131, S HWY 52",4607,2021-10-01T00:00:00Z,2021-11-12T00:00:00Z
CASEY'S GENERAL STORE #1985 / ST. ANSGAR,31,NA,NA,4533,2019-07-01T00:00:00Z,2019-07-22T00:00:00Z
MOES MART #13 / CASEY,31,50048,501 MCPHERSON STREET,6111,2022-12-02T00:00:00Z,2023-02-24T00:00:00Z
MISSISSIPPI RIVER DISTILLERY,30,52753,303 N CODY RD,9002,2021-10-07T00:00:00Z,2021-11-08T00:00:00Z
CASEY'S GENERAL STORE # 2272/COLFAX,29,50054,1203 N WALNUT,5398,2021-10-06T00:00:00Z,2021-11-10T00:00:00Z
HY-VEE / CORYDON,29,NA,NA,2669,2019-04-03T00:00:00Z,2019-04-10T00:00:00Z
CASEY'S GENERAL STORE #1388 / SULLY,28,NA,NA,4627,2016-11-07T00:00:00Z,2016-11-07T00:00:00Z
CASEY'S GENERAL STORE #2992 / FONDA,27,50540,101 HWY 7,4610,2021-10-25T00:00:00Z,2021-11-15T00:00:00Z
MIDTOWN LIQUOR,27,NA,NA,5028,2022-06-20T00:00:00Z,2022-06-20T00:00:00Z
CASEY'S GENERAL STORE #1511 / SEYMOU,24,52590,500 W MAIN ST,5217,2021-10-01T00:00:00Z,2021-11-12T00:00:00Z
J & C GROCERY / DUMONT,24,NA,NA,4584,2019-07-09T00:00:00Z,2019-07-09T00:00:00Z
FLASHMART #103/ANITIA,23,NA,NA,5700,2019-01-04T00:00:00Z,2019-01-04T00:00:00Z
YESWAY #1103 / ROCKFORD,23,50468,814 E MAIN ST,5488,2023-03-07T00:00:00Z,2023-04-11T00:00:00Z
CASEY'S GENERAL STORE #2529 / LAMONI,22,50140,406 E MAIN ST,4782,2021-10-01T00:00:00Z,2021-11-05T00:00:00Z
CASEY'S GENERAL STORE #3679 / STORM LAKE,22,50588,207 E MILWAUKEE AVE,5659,2020-02-03T00:00:00Z,2020-04-13T00:00:00Z
FAS MART # 5159/ DUBUQUE,21,NA,NA,5306,2017-01-10T00:00:00Z,2017-01-10T00:00:00Z
WALGREENS #05042 / CEDAR RAPIDS,20,52404,3325 16TH AVE SW,4745,2021-10-18T00:00:00Z,2021-11-22T00:00:00Z
YESWAY STORE # 10022/ WATERLOO,19,50703,1976 FRANKLIN ST,5294,2021-10-19T00:00:00Z,2021-10-19T00:00:00Z
BP / WELTON,18,NA,NA,010120,2023-01-23T00:00:00Z,2023-01-23T00:00:00Z
CASEY'S GENERAL STORE #1546 / FREMONT,17,52561,203 E MAIN ST,5833,2021-10-06T00:00:00Z,2021-10-28T00:00:00Z
YESWAY STORE # 10013/ OTTUMWA,17,NA,NA,5300,2019-07-10T00:00:00Z,2019-07-10T00:00:00Z
JOHNSON AVE BP / CEDAR RAPIDS,16,52405,4830 JOHNSON AVE,5947,2020-05-04T00:00:00Z,2020-06-22T00:00:00Z
TEQUILA WINE & SPIRITS,16,52247,215 1ST ST,5654,2021-10-01T00:00:00Z,2022-04-01T00:00:00Z
CASEY'S GENERAL STORE #2905 / AMES,12,50010,17005 HWY 69,4656,2021-08-20T00:00:00Z,2021-08-20T00:00:00Z
KUM & GO #301 / CLEAR LAKE,12,NA,NA,4351,2019-07-05T00:00:00Z,2019-07-05T00:00:00Z
CASEY'S GENERAL STORE #1280 / FORT DODGE,11,NA,NA,5558,2020-01-10T00:00:00Z,2020-01-10T00:00:00Z
FLASHMART  #105,11,NA,NA,5695,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z
MCDERMOTT OIL CO,11,52033,1501 1ST AVE E,5531,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
WESTSIDE SPIRITS / CEDAR RAPIDS,11,52404,3330 16TH AVE. SW,6236,2021-10-25T00:00:00Z,2021-10-25T00:00:00Z
CASEY'S GENERAL STORE #2811 / SPRINGVILLE,9,NA,NA,4934,2021-03-05T00:00:00Z,2021-03-05T00:00:00Z
GIT-N-GO #47 / ALTOONA,8,50009,101 8TH ST W,5595,2021-10-14T00:00:00Z,2021-11-18T00:00:00Z
HY-VEE FAST AND FRESH #2 / WAUKEE,8,50263,155 W. HICKMAN RD.,6191,2021-10-22T00:00:00Z,2021-10-22T00:00:00Z
ROCK C LIQUOR & WINE & TOBACCO / IOWA FALLS,7,50126,418 ROCKSYLVANIA AVENUE,6226,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z
THE OX & WREN SPIRITS AND GIFTS,7,52136,708 2ND  AVE  SE,5244,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
"CENTRAL CITY LIQUOR, INC.",5,50314,1460 2ND AVE,2190,2021-10-01T00:00:00Z,2021-10-04T00:00:00Z
EAST SIDE LIQUOR & GROCERY / MARSHALLTOWN,5,50158,1116 EAST NEVADA STREET,6206,2021-10-06T00:00:00Z,2021-10-06T00:00:00Z
SMOKIN' JOE'S #15 TOBACCO AND LIQUOR OUTLET,5,52405,455 EDGEWOOD RD NW,5176,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z
SMOKIN' JOE'S #4 TOBACCO AND LIQUOR OUTLET,5,50317,2800 E UNIVERSITY AVE,4273,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
WALGREENS #06186 / DAVENPORT,5,52807,4011 E 53RD ST,4748,2021-10-11T00:00:00Z,2021-10-11T00:00:00Z
FAREWAY STORES #987 / DAVENPORT,4,52806,1635 WEST 53RD ST,4196,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
NEW STAR MART  /  NEWTON,4,50702,"702, 1ST AVE E",5116,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z
THE HUT / COUNCIL BLUFFS,4,51501,1925 W BROADWAY,5915,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
TIPTON FAMILY FOODS,4,52772,610 CEDAR ST,4269,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z
380BP / SWISHER,3,52338,2722 NE 120TH ST,4787,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z
FAREWAY STORES #386 / AMES,3,50010,619 BURNETT AVE,4102,2021-10-07T00:00:00Z,2021-10-07T00:00:00Z
GREAT PASTIMES,3,52310,228 N MAIN ST.,5437,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
HAPPY'S WINE & SPIRITS,3,50613,5925 UNIVERSITY AVE,4988,2021-10-07T00:00:00Z,2021-10-07T00:00:00Z
HY-VEE FOOD STORE / CARROLL,3,51401,905 US HIGHWAY 30 WEST,2593,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
LOGAN SUPER FOODS,3,51546,403 E 6TH,3611,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
SAM'S MINI MART / MORNINGSIDE AVE SIOUX CITY,3,51106,4218 MORNINGSIDE AVE,4879,2021-10-06T00:00:00Z,2021-10-06T00:00:00Z
AJ'S LIQUOR III,2,50010,2401 A CHAMBERLAIN ST,4960,2021-10-07T00:00:00Z,2021-10-07T00:00:00Z
BENZ DISTRIBUTING,2,52401,501 7TH AVE SE,3773,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z
BOJI JUNCTION / MILFORD,2,51351,2301 OKOBOJI AVENUE,6218,2021-10-06T00:00:00Z,2021-10-06T00:00:00Z
CASEY'S GENERAL STORE #1728 / RED OAK,2,51566,1310 N. BROADWAY ST,5967,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
CASEY'S GENERAL STORE #2318 / MONTRO,2,52639,"111, MAIN ST",5062,2021-10-13T00:00:00Z,2021-10-13T00:00:00Z
CASEY'S GENERAL STORE #2563 / EXIRA,2,50076,312 W WASHINGTON ST,4523,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
CASEY'S GENERAL STORE #2815  /  VICT,2,52347,"901, 3RD  ST",5150,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z
CASEY'S GENERAL STORE #2835 / AVOCA,2,51521,1019 N CHESTNUT ST,4785,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
CASEY'S GENERAL STORE #3025 / CARROLL,2,51401,613 US HWY 30 W,5749,2021-10-11T00:00:00Z,2021-10-11T00:00:00Z
CJ'S CONVENIENCE STORE / ELKADER,2,52043,107 1ST ST SW,5936,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
DUBUQUE WINE & SPIRITS,2,52002,3305 ASBURY RD,6132,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
FAREWAY STORES #912 / SIOUX CENTER,2,51250,115  1ST AVE NW,4256,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
FAREWAY STORES #974 / CEDAR FALLS,2,50613,214 N MAGNOLIA DR,4147,2021-10-07T00:00:00Z,2021-10-07T00:00:00Z
HY-VEE #1044 / BURLINGTON,2,52601,3140 AGENCY,2506,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
HY-VEE / WAUKEE,2,50263,1005 E HICKMAN RD,2665,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
HY-VEE FOOD STORE #3 / CEDAR RAPIDS,2,52404,20 WILSON AVENUE WEST,2552,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z
HY-VEE STORE / PERRY,2,50220,1215  141 ST,2612,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
HY-VEE WINE AND SPIRITS / BETTENDORF,2,52722,2890 DEVILS GLEN ROAD,2603,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
KUM & GO #117 / SPIRIT LAKE,2,51360,300 18TH ST,4387,2021-10-06T00:00:00Z,2021-10-06T00:00:00Z
KUM & GO #1202 / WAUKEE,2,50263,650 W HICKMAN RD,4378,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
KUM & GO #184 / ALTOONA,2,50009,1430 1ST AVE NORTH,5499,2021-10-07T00:00:00Z,2021-10-07T00:00:00Z
MARLE HAY LIQUOR & SMOKE / DES MOINES,2,50310,3408 MERLE HAY ROAD,6215,2021-10-07T00:00:00Z,2021-10-07T00:00:00Z
NEW STAR FLETCHER / WATERLOO,2,50701,315 FLETCHER AVE,5900,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
PHILLIPS 66 / GRINNELL,2,50112,1031 WEST ST,5645,2021-10-06T00:00:00Z,2021-10-06T00:00:00Z
SMOKIN' JOE'S #16 TOBACCO AND LIQUOR OUTLET,2,52761,1504 PARK AVE,3907,2020-02-10T00:00:00Z,2020-02-10T00:00:00Z
WAL-MART 1415 / SPIRIT LAKE,2,51360,2600 HWY 71,3622,2021-10-06T00:00:00Z,2021-10-06T00:00:00Z
AMBYSURE INC / CLINTON,1,52732,1641 S BLUFF BLVD,5682,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z
B AND B WEST,1,50613,3105 HUDSON RD,4932,2021-10-12T00:00:00Z,2021-10-12T00:00:00Z
CASEY'S GENERAL STORE # 3507/ GRIMES,1,50111,951 SE GATEWAY DR.,5332,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
CASEY'S GENERAL STORE #1329 / ESTHERVILLE,1,51334,8 CENTRAL AVE,5762,2021-10-27T00:00:00Z,2021-10-27T00:00:00Z
CASEY'S GENERAL STORE #1577 / ALBIA,1,52531,122 N MAIN ST,5756,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
CASEY'S GENERAL STORE #20 / ALDEN,1,50006,"1008, GRAND",4497,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z
CASEY'S GENERAL STORE #2491 / CLARINDA,1,51632,1107 S 16TH ST,5785,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
CASEY'S GENERAL STORE #2526 / WELLSBURG,1,50680,308 N WASHINGTON,4657,2021-10-12T00:00:00Z,2021-10-12T00:00:00Z
CASEY'S GENERAL STORE #2550 / OSCEOLA,1,50213,1706 JEFFREYS DR,5541,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
CASEY'S GENERAL STORE #2614 / DONNELLSON,1,52625,201 MADISON AVE,4555,2020-02-26T00:00:00Z,2020-02-26T00:00:00Z
CASEY'S GENERAL STORE #3055 / GRUNDY CENTER,1,50638,"504, G AVE",4495,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z
"CENTRAL MART I, LLC.",1,51106,"2501, FLOYD BLVD",5086,2021-10-06T00:00:00Z,2021-10-06T00:00:00Z
DISCOUNT LIQUOR,1,52402,2933 1ST AVE SE,5254,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z
FAREWAY STORES #467 / MARSHALLTOWN,1,50158,102 WEST ANSON ST,4205,2021-10-06T00:00:00Z,2021-10-06T00:00:00Z
FAREWAY STORES #719 / LE MARS,1,51031,115 PLYMOUTH ST NE,4231,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
GLIDDEN GROCERY,1,51443,1408 DAKOTA STREET,5205,2021-10-11T00:00:00Z,2021-10-11T00:00:00Z
HY-VEE FOOD STORE / ELDORA,1,50627,1616 EDGINGTON,2628,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z
HY-VEE WINE AND SPIRITS (1170) / ESTHERVILLE,1,NA,NA,2556,2023-04-19T00:00:00Z,2023-04-19T00:00:00Z
HY-VEE WINE AND SPIRITS / PELLA,1,50219,512 E OSKALOOSA,2642,2021-10-06T00:00:00Z,2021-10-06T00:00:00Z
HY-VEE WINE AND SPIRITS / WATERLOO!,1,50701,2126 KIMBALL AVE,2643,2022-10-26T00:00:00Z,2022-10-26T00:00:00Z
KEOKUK SPIRITS,1,52632,1013 MAIN,2191,2021-10-06T00:00:00Z,2021-10-06T00:00:00Z
KUM & GO #59 / WAUKEE,1,50263,400 PRAIRIE BLUFF DR,4868,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
KWIK SHOP #541 / GLENWOOD,1,51534,309 N LOCUST ST,4629,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
LANSING IGA,1,52151,417 MAIN ST,5017,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
LARCHWOOD QUICK STOP,1,51241,832 BROADWAY ST,4904,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
LIQUOR TOBACCO & VAPE / MANCHESTER,1,52057,316 E MAIN ST,6121,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
"LIQUOR, TOBACCO & GROCERY / DUBUQUE",1,52001,1998 JACKSON ST,5957,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
MARSHALL BEER WINE SPIRITS,1,50158,11 N 3RD AVE,5444,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z
MONTEZUMA SUPER VALU,1,50171,201 S FRONT ST,3065,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
OASIS,1,50316,"1401, BUCHANAN ST",5131,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
PRIME MART #3 / WATERLOO,1,50702,1008 LAPORTE RD,4910,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
PRONTO MARKET / SUMNER,1,50674,117 W 1ST ST,5537,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
RANDALL'S STOP N SHOP,1,50643,320 5TH ST,5526,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
ROCSTOP,1,51601,1310 W SHERIDAN AVE,4937,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
SAM'S CLUB 8238 / DAVENPORT,1,52807,3845 ELMORE AVE.,3354,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
SOUTH SIDE FOOD MART,1,50315,1101 ARMY POST RD,5145,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
SUPER SAVER LIQUOR -MUSCATINE,1,52761,1510 A ISETT AVENUE,5735,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
TAYLOR QUIK PIK - COUNCIL BLUFFS,1,51503,14151 WABASH AVENUE,5861,2021-10-06T00:00:00Z,2021-10-06T00:00:00Z
THE LIQUOR CABINET / CLIVE,1,50325,9761 UNIVERSITY AVE.,6198,2021-10-25T00:00:00Z,2021-10-25T00:00:00Z
THE MARKET OF MADRID,1,50156,301 ANNEX RD,3831,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z
THE STATION II / NORTH LIBERTY,1,52317,"620, MEADE DR",5225,2021-10-12T00:00:00Z,2021-10-12T00:00:00Z
WAL-MART 0559 / MUSCATINE,1,52761,3003 NORTH HWY 61,3563,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z
WALGREENS #05361 / FORT DODGE,1,50501,2503 5TH AVE S,4702,2021-10-08T00:00:00Z,2021-10-08T00:00:00Z
